City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
270,Prince Rupert,CA,54.3161,-130.3201,51.89,93,90,12.66,moderate rain
271,Bathsheba,BB,13.2167,-59.5167,90.21,66,40,13.8,scattered clouds
272,Exeter,GB,50.7236,-3.5275,61.56,95,100,1.01,overcast clouds
273,Rundu,NA,-17.9333,19.7667,78.94,18,12,1.01,few clouds
274,Winnemucca,US,40.973,-117.7357,64.45,22,1,5.75,clear sky
275,Katsina,NG,12.9894,7.6006,85.95,34,6,5.46,clear sky
276,The Valley,AI,18.217,-63.0578,89.46,78,75,5.75,broken clouds
277,Guerrero Negro,MX,27.9769,-114.0611,74.3,53,0,11.14,clear sky
278,San Cristobal,VE,7.7669,-72.225,78.98,51,60,5.86,broken clouds
279,Povenets,RU,62.8487,34.8262,44.37,86,70,4.72,broken clouds
280,Santa Rosalia,MX,27.3167,-112.2833,79.65,53,0,7.65,clear sky
281,Beyneu,KZ,45.3167,55.2,48.74,34,13,3.4,few clouds
282,Korla,CN,41.7597,86.1469,66.67,21,0,5.01,clear sky
283,Balykshi,KZ,47.0667,51.8667,41.0,56,40,8.95,scattered clouds
284,Istok,XK,42.7808,20.4875,56.32,97,100,3.22,moderate rain
285,Alcaniz,ES,41.05,-0.1333,64.08,51,34,2.44,scattered clouds
286,Sinop,TR,41.7711,34.8709,50.43,89,97,4.23,overcast clouds
287,Samfya,ZM,-11.3649,29.5565,79.5,30,46,13.0,scattered clouds
288,Canaries,ES,28.0,-15.5,68.4,76,20,5.99,few clouds
289,Port Moresby,PG,-9.4431,147.1797,78.22,89,40,4.61,haze
290,Lagoa,PT,39.05,-27.9833,71.02,83,69,4.83,broken clouds
291,Naryan-Mar,RU,67.6713,53.087,34.74,79,100,4.36,overcast clouds
292,Teya,RU,60.3778,92.6267,35.31,93,100,2.64,light rain
293,Molina,CL,-35.1167,-71.2833,64.13,45,75,4.61,broken clouds
294,Gamba,GA,-2.65,10.0,75.49,85,85,8.01,overcast clouds
295,Vestmanna,FO,62.1564,-7.1664,50.92,100,90,21.85,overcast clouds
296,Nuuk,GL,64.1835,-51.7216,39.81,52,1,9.22,clear sky
297,Belogorsk,RU,50.9158,128.4611,35.2,91,72,6.42,broken clouds
298,Hovd,MN,48.0056,91.6419,44.69,43,99,6.06,overcast clouds
299,Snezhnogorsk,RU,69.1933,33.2531,42.58,85,100,5.73,overcast clouds
300,Bouna,CI,9.2667,-3.0,75.9,82,66,3.94,broken clouds
