City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Lompoc,US,2021-09-29 16:49:16,34.6391,-120.4579,74.1,80,1,5.75
154,Kijang,KR,2021-09-29 16:49:16,35.2442,129.2139,74.93,85,87,3.78
155,Pandan,PH,2021-09-29 16:49:17,14.0453,124.1694,80.37,83,83,3.24
156,Slavyanka,RU,2021-09-29 16:49:17,42.8633,131.3847,59.86,90,0,5.19
157,Rocha,UY,2021-09-29 16:49:17,-34.4833,-54.3333,64.44,56,0,10.76
158,Faanui,PF,2021-09-29 16:49:18,-16.4833,-151.75,78.48,77,9,17.54
159,Tarauaca,BR,2021-09-29 16:49:18,-8.1614,-70.7656,97.75,34,87,3.6
160,Saint George,US,2021-09-29 16:49:19,37.1041,-113.5841,70.27,39,1,1.99
161,Havre,FR,2021-09-29 16:49:20,49.5833,0.3333,58.77,55,75,16.11
162,Vestmannaeyjar,IS,2021-09-29 16:49:20,63.4427,-20.2734,45.59,70,20,21.85
163,Kathmandu,NP,2021-09-29 16:49:21,27.7167,85.3167,70.02,88,75,0.0
164,Iralaya,HN,2021-09-29 16:49:22,15.0,-83.2333,87.89,68,45,5.73
165,Pangody,RU,2021-09-29 16:49:22,65.85,74.4859,35.08,90,94,7.67
166,Copiapo,CL,2021-09-29 16:49:23,-27.3667,-70.3333,56.89,21,1,10.4
167,Cidreira,BR,2021-09-29 16:49:23,-30.1811,-50.2056,67.24,83,84,11.77
168,Araouane,ML,2021-09-29 16:49:24,18.9048,-3.5265,102.15,7,14,8.63
169,Doha,QA,2021-09-29 16:47:45,25.2867,51.5333,93.51,66,0,4.61
170,Gat,IL,2021-09-29 16:45:02,31.61,34.7642,77.68,100,0,6.91
171,La Ronge,CA,2021-09-29 16:49:24,55.1001,-105.2842,55.65,94,90,8.05
172,Hays,US,2021-09-29 16:49:25,30.0502,-98.0336,81.72,86,51,3.0
173,Bethel,US,2021-09-29 16:45:30,41.3712,-73.414,66.58,62,40,9.22
174,Honningsvag,NO,2021-09-29 16:49:26,70.9821,25.9704,46.15,87,30,3.44
175,Conde,BR,2021-09-29 16:44:35,-7.2597,-34.9075,85.46,66,75,14.97
176,Adrar,MR,2021-09-29 16:49:26,20.5022,-10.0711,103.96,6,0,12.71
177,Ponta Do Sol,PT,2021-09-29 16:49:27,32.6667,-17.1,77.13,53,1,6.46
178,San Carlos De Bariloche,AR,2021-09-29 16:49:27,-41.1456,-71.3082,55.15,26,75,20.71
179,Maroantsetra,MG,2021-09-29 16:49:28,-15.4333,49.7333,71.19,82,59,5.97
180,Bouna,CI,2021-09-29 16:49:29,9.2667,-3.0,84.58,61,55,5.21
181,Gualeguay,AR,2021-09-29 16:49:29,-33.1416,-59.3097,71.49,55,0,12.44
182,Esperance,AU,2021-09-29 16:49:30,-33.8667,121.9,57.04,87,76,13.09
183,Carbonia,IT,2021-09-29 16:49:30,39.1672,8.5222,79.75,73,17,11.81
184,Semey,KZ,2021-09-29 16:49:31,50.4111,80.2275,46.04,78,58,4.16
185,Xining,CN,2021-09-29 16:49:31,36.6167,101.7667,53.26,51,1,2.84
186,Livingston,GB,2021-09-29 16:49:22,55.9029,-3.5226,54.21,65,20,10.36
187,Coquimbo,CL,2021-09-29 16:46:28,-29.9533,-71.3436,64.13,67,0,11.5
188,Aklavik,CA,2021-09-29 16:49:32,68.2191,-135.0107,29.23,81,97,4.36
189,Ravar,IR,2021-09-29 16:49:33,31.2656,56.8055,79.74,10,0,2.53
190,Mount Isa,AU,2021-09-29 16:49:34,-20.7333,139.5,73.17,64,29,4.61
191,Kutum,SD,2021-09-29 16:49:34,14.2,24.6667,84.87,23,50,8.08
192,Saskylakh,RU,2021-09-29 16:49:35,71.9167,114.0833,23.45,91,100,4.25
193,Yuancheng,CN,2021-09-29 16:49:35,36.652,107.7896,62.51,62,37,5.23
194,Kupang,ID,2021-09-29 16:49:35,-10.1667,123.5833,76.51,84,11,7.2
195,Birjand,IR,2021-09-29 16:49:36,32.8663,59.2211,77.47,8,0,9.22
196,Pundaguitan,PH,2021-09-29 16:49:37,6.3711,126.1689,83.64,73,96,6.58
197,Quang Ngai,VN,2021-09-29 16:49:37,15.1167,108.8,76.48,93,8,3.44
198,Saint-Philippe,RE,2021-09-29 16:49:37,-21.3585,55.7679,71.15,79,45,12.95
199,San Quintin,MX,2021-09-29 16:46:12,30.4833,-115.95,68.18,64,51,9.57
200,Sistranda,NO,2021-09-29 16:49:38,63.7256,8.834,57.9,72,68,10.27
201,Victoria,HK,2021-09-29 16:48:13,22.2855,114.1577,86.38,84,2,3.0
202,Arnedo,ES,2021-09-29 16:49:38,42.2167,-2.1,69.6,51,78,14.92
203,Dengzhou,CN,2021-09-29 16:49:39,37.8086,120.7508,65.91,81,2,3.18
204,Garowe,SO,2021-09-29 16:49:40,8.4054,48.4845,85.19,47,73,22.01
205,Palauig,PH,2021-09-29 16:49:40,15.435,119.9045,80.94,81,50,4.16
206,Lasa,IT,2021-09-29 16:49:40,46.6166,10.7002,64.31,88,96,3.98
207,Sukhobezvodnoye,RU,2021-09-29 16:49:41,57.0491,44.8891,39.0,92,47,4.81
208,Tura,IN,2021-09-29 16:49:41,25.5198,90.2201,72.05,87,100,0.96
209,Prieska,ZA,2021-09-29 16:49:42,-29.6641,22.7474,71.78,32,47,13.11
210,Talara,PE,2021-09-29 16:49:42,-4.5772,-81.2719,74.16,64,0,13.8
211,Saldanha,ZA,2021-09-29 16:49:43,-33.0117,17.9442,69.85,68,0,20.0
212,Misratah,LY,2021-09-29 16:49:43,32.3754,15.0925,78.44,64,0,15.93
213,La Palma,US,2021-09-29 16:49:44,33.8464,-118.0467,74.12,72,20,1.01
214,Pires Do Rio,BR,2021-09-29 16:49:44,-17.2997,-48.2794,89.92,25,51,3.38
215,Iqaluit,CA,2021-09-29 16:49:45,63.7506,-68.5145,35.33,80,75,11.01
216,Graaff-Reinet,ZA,2021-09-29 16:49:45,-32.2522,24.5308,50.92,94,100,12.21
217,Katsuura,JP,2021-09-29 16:49:46,35.1333,140.3,72.1,75,100,6.69
218,Nome,US,2021-09-29 16:49:47,64.5011,-165.4064,28.47,80,90,3.44
219,Norman Wells,CA,2021-09-29 16:45:07,65.282,-126.8329,28.44,80,75,4.61
220,Tovarkovo,RU,2021-09-29 16:49:47,54.6762,35.9386,43.23,78,91,3.85
221,Kaliua,TZ,2021-09-29 16:49:48,-5.0606,31.7936,82.9,31,80,6.33
222,Marfino,RU,2021-09-29 16:49:48,55.7028,37.3822,45.09,72,75,8.95
223,Altay,CN,2021-09-29 16:49:49,47.8667,88.1167,50.02,70,99,7.2
224,Richards Bay,ZA,2021-09-29 16:49:49,-28.783,32.0377,66.99,73,100,7.58
225,Inhambane,MZ,2021-09-29 16:49:50,-23.865,35.3833,78.78,78,75,8.99
226,Bengkulu,ID,2021-09-29 16:49:50,-3.8004,102.2655,75.16,93,100,6.62
227,Imeni Karla Libknekhta,RU,2021-09-29 16:49:51,51.6232,35.4775,43.32,67,41,6.85
228,Ulaanbaatar,MN,2021-09-29 16:48:05,47.9077,106.8832,26.73,80,0,4.47
229,Tuzha,RU,2021-09-29 16:49:52,57.6062,47.936,42.24,84,96,3.85
230,Lithakia,GR,2021-09-29 16:49:52,37.7167,20.8333,79.88,69,40,4.61
231,Pingliang,CN,2021-09-29 16:49:53,35.5392,106.6861,62.51,80,100,3.11
232,Laguna,US,2021-09-29 16:49:53,38.421,-121.4238,72.1,48,1,1.99
